year,state,race,count,statecode,population
2019,Alabama,B,7,AL,1257300
2019,Alabama,W,4,AL,3115600
2019,Alaska,B,1,AK,20700
2019,Alaska,N,1,AK,110300
2019,Alaska,O,1,AK,58500
2019,Alaska,W,4,AK,426100
2019,Arizona,B,3,AZ,297000
2019,Arizona,H,17,AZ,2213600
2019,Arizona,N,2,AZ,271900
2019,Arizona,O,4,AZ,179400
2019,Arizona,W,9,AZ,3815100
2019,Arkansas,B,8,AR,436900
2019,Arkansas,O,4,AR,87900
2019,Arkansas,W,9,AR,2110400
2019,California,A,7,CA,5669100
2019,California,B,24,CA,2074900
2019,California,H,45,CA,15261300
2019,California,N,2,CA,120300
2019,California,O,24,CA,1413200
2019,California,W,33,CA,14206900
2019,Colorado,B,5,CO,212200
2019,Colorado,H,12,CO,1200900
2019,Colorado,O,4,CO,163400
2019,Colorado,W,15,CO,3774700
2019,Connecticut,B,1,CT,343000
2019,Connecticut,H,2,CT,576400
2019,Connecticut,W,1,CT,2298100
2019,Delaware,O,2,DE,23700
2019,Florida,B,16,FL,3141700
2019,Florida,H,16,FL,5488400
2019,Florida,O,9,FL,500600
2019,Florida,W,23,FL,11101600
2019,Georgia,A,2,GA,421200
2019,Georgia,B,9,GA,3158000
2019,Georgia,H,2,GA,994300
2019,Georgia,O,8,GA,265100
2019,Georgia,W,16,GA,5358000
2019,Hawaii,A,2,HI,512800
2019,Hawaii,O,4,HI,399600
2019,Hawaii,W,1,HI,278500
2019,Idaho,H,1,ID,217500
2019,Idaho,O,1,ID,37100
2019,Idaho,W,5,ID,1407600
2019,Illinois,B,8,IL,1685200
2019,Illinois,H,1,IL,2173800
2019,Illinois,O,3,IL,275800
2019,Illinois,W,1,IL,7588300
2019,Indiana,B,3,IN,600600
2019,Indiana,O,2,IN,145400
2019,Indiana,W,11,IN,5121300
2019,Iowa,B,1,IA,102300
2019,Iowa,W,4,IA,2614600
2019,Kansas,B,1,KS,150700
2019,Kansas,W,8,KS,2137700
2019,Kentucky,B,4,KY,328400
2019,Kentucky,O,3,KY,100900
2019,Kentucky,W,8,KY,3664300
2019,Louisiana,B,17,LA,1429700
2019,Louisiana,O,1,LA,105500
2019,Louisiana,W,2,LA,2658300
2019,Maine,H,1,ME,19500
2019,Maine,W,2,ME,1213400
2019,Maryland,B,10,MD,1720400
2019,Maryland,H,1,MD,613900
2019,Maryland,O,1,MD,197600
2019,Maryland,W,7,MD,2953400
2019,Massachusetts,B,1,MA,465500
2019,Massachusetts,H,1,MA,824800
2019,Massachusetts,O,3,MA,195000
2019,Michigan,B,3,MI,1321900
2019,Michigan,H,1,MI,502900
2019,Michigan,O,2,MI,252000
2019,Michigan,W,7,MI,7327100
2019,Minnesota,A,1,MN,259600
2019,Minnesota,B,2,MN,356100
2019,Minnesota,H,1,MN,296100
2019,Minnesota,N,1,MN,51700
2019,Minnesota,O,2,MN,152900
2019,Minnesota,W,4,MN,4370100
2019,Mississippi,A,1,MS,25300
2019,Mississippi,B,5,MS,1084700
2019,Mississippi,O,2,MS,41300
2019,Mississippi,W,10,MS,1633600
2019,Missouri,B,11,MO,670600
2019,Missouri,H,1,MO,240400
2019,Missouri,O,4,MO,164300
2019,Missouri,W,12,MO,4719400
2019,Montana,W,6,MT,890100
2019,Nebraska,B,1,NE,82100
2019,Nebraska,H,2,NE,206800
2019,Nebraska,N,1,NE,12500
2019,Nebraska,W,2,NE,1470100
2019,Nevada,B,2,NV,258700
2019,Nevada,H,4,NV,866800
2019,Nevada,O,2,NV,140200
2019,Nevada,W,3,NV,1447500
2019,New Hampshire,W,2,NH,1181500
2019,New Jersey,B,6,NJ,1100300
2019,New Jersey,H,1,NJ,1812100
2019,New Jersey,O,2,NJ,185600
