year,state,statecode,race
2019,Alabama,AL,B
2019,Alabama,AL,B
2019,Alabama,AL,B
2019,Alabama,AL,B
2019,Alabama,AL,B
2019,Alabama,AL,W
2019,Alabama,AL,W
2019,Alabama,AL,B
2019,Alabama,AL,B
2019,Alabama,AL,W
2019,Alabama,AL,W
2019,Alaska,AK,W
2019,Alaska,AK,W
2019,Alaska,AK,N
2019,Alaska,AK,B
2019,Alaska,AK,W
2019,Alaska,AK,O
2019,Alaska,AK,W
2019,Arizona,AZ,B
2019,Arizona,AZ,H
2019,Arizona,AZ,W
2019,Arizona,AZ,H
2019,Arizona,AZ,H
2019,Arizona,AZ,W
2019,Arizona,AZ,W
2019,Arizona,AZ,W
2019,Arizona,AZ,O
2019,Arizona,AZ,H
2019,Arizona,AZ,O
2019,Arizona,AZ,H
2019,Arizona,AZ,H
2019,Arizona,AZ,H
2019,Arizona,AZ,H
2019,Arizona,AZ,W
2019,Arizona,AZ,H
2019,Arizona,AZ,H
2019,Arizona,AZ,O
2019,Arizona,AZ,N
2019,Arizona,AZ,H
2019,Arizona,AZ,H
2019,Arizona,AZ,H
2019,Arizona,AZ,H
2019,Arizona,AZ,O
2019,Arizona,AZ,H
2019,Arizona,AZ,H
2019,Arizona,AZ,B
2019,Arizona,AZ,W
2019,Arizona,AZ,W
2019,Arizona,AZ,N
2019,Arizona,AZ,W
2019,Arizona,AZ,B
2019,Arizona,AZ,H
2019,Arizona,AZ,W
2019,Arkansas,AR,B
2019,Arkansas,AR,W
2019,Arkansas,AR,B
2019,Arkansas,AR,W
2019,Arkansas,AR,B
2019,Arkansas,AR,W
2019,Arkansas,AR,W
2019,Arkansas,AR,W
2019,Arkansas,AR,B
2019,Arkansas,AR,W
2019,Arkansas,AR,O
2019,Arkansas,AR,W
2019,Arkansas,AR,O
2019,Arkansas,AR,B
2019,Arkansas,AR,O
2019,Arkansas,AR,O
2019,Arkansas,AR,B
2019,Arkansas,AR,B
2019,Arkansas,AR,W
2019,Arkansas,AR,W
2019,Arkansas,AR,B
2019,California,CA,H
2019,California,CA,H
2019,California,CA,H
2019,California,CA,W
2019,California,CA,O
2019,California,CA,H
2019,California,CA,H
2019,California,CA,B
2019,California,CA,B
2019,California,CA,W
2019,California,CA,O
2019,California,CA,W
2019,California,CA,B
2019,California,CA,W
2019,California,CA,W
2019,California,CA,W
2019,California,CA,B
2019,California,CA,A
2019,California,CA,W
2019,California,CA,H
2019,California,CA,W
2019,California,CA,H
2019,California,CA,W
2019,California,CA,H
2019,California,CA,W
