year,state,race,count
2019,Alabama,B,7
2019,Alabama,W,4
2019,Alaska,B,1
2019,Alaska,N,1
2019,Alaska,O,1
2019,Alaska,W,4
2019,Arizona,B,3
2019,Arizona,H,17
2019,Arizona,N,2
2019,Arizona,O,4
2019,Arizona,W,9
2019,Arkansas,B,8
2019,Arkansas,O,4
2019,Arkansas,W,9
2019,California,A,7
2019,California,B,24
2019,California,H,45
2019,California,N,2
2019,California,O,24
2019,California,W,33
2019,Colorado,B,5
2019,Colorado,H,12
2019,Colorado,O,4
2019,Colorado,W,15
2019,Connecticut,B,1
2019,Connecticut,H,2
2019,Connecticut,W,1
2019,Delaware,O,2
2019,Florida,B,16
2019,Florida,H,16
2019,Florida,O,9
2019,Florida,W,23
2019,Georgia,A,2
2019,Georgia,B,9
2019,Georgia,H,2
2019,Georgia,O,8
2019,Georgia,W,16
2019,Hawaii,A,2
2019,Hawaii,O,4
2019,Hawaii,W,1
2019,Idaho,H,1
2019,Idaho,O,1
2019,Idaho,W,5
2019,Illinois,B,8
2019,Illinois,H,1
2019,Illinois,O,3
2019,Illinois,W,1
2019,Indiana,B,3
2019,Indiana,O,2
2019,Indiana,W,11
2019,Iowa,B,1
2019,Iowa,W,4
2019,Kansas,B,1
2019,Kansas,W,8
2019,Kentucky,B,4
2019,Kentucky,O,3
2019,Kentucky,W,8
2019,Louisiana,B,17
2019,Louisiana,O,1
2019,Louisiana,W,2
2019,Maine,H,1
2019,Maine,W,2
2019,Maryland,B,10
2019,Maryland,H,1
2019,Maryland,O,1
2019,Maryland,W,7
2019,Massachusetts,B,1
2019,Massachusetts,H,1
2019,Massachusetts,O,3
2019,Michigan,B,3
2019,Michigan,H,1
2019,Michigan,O,2
2019,Michigan,W,7
2019,Minnesota,A,1
2019,Minnesota,B,2
2019,Minnesota,H,1
2019,Minnesota,N,1
2019,Minnesota,O,2
2019,Minnesota,W,4
2019,Mississippi,A,1
2019,Mississippi,B,5
2019,Mississippi,O,2
2019,Mississippi,W,10
2019,Missouri,B,11
2019,Missouri,H,1
2019,Missouri,O,4
2019,Missouri,W,12
2019,Montana,W,6
2019,Nebraska,B,1
2019,Nebraska,H,2
2019,Nebraska,N,1
2019,Nebraska,W,2
2019,Nevada,B,2
2019,Nevada,H,4
2019,Nevada,O,2
2019,Nevada,W,3
2019,New Hampshire,W,2
2019,New Jersey,B,6
2019,New Jersey,H,1
2019,New Jersey,O,2
2019,New Jersey,W,3
2019,New Mexico,H,7
2019,New Mexico,N,1
2019,New Mexico,O,7
2019,New Mexico,W,3
2019,New York,B,11
2019,New York,H,1
2019,New York,O,5
2019,New York,W,6
2019,North Carolina,B,11
2019,North Carolina,H,2
2019,North Carolina,O,3
2019,North Carolina,W,18
2019,Ohio,B,9
2019,Ohio,O,2
2019,Ohio,W,13
2019,Oklahoma,B,10
2019,Oklahoma,H,1
2019,Oklahoma,N,2
2019,Oklahoma,O,3
2019,Oklahoma,W,18
2019,Oregon,B,1
2019,Oregon,H,2
2019,Oregon,O,2
2019,Oregon,W,13
2019,Pennsylvania,B,6
2019,Pennsylvania,O,2
2019,Pennsylvania,W,6
2019,South Carolina,B,5
2019,South Carolina,O,4
2019,South Carolina,W,9
2019,South Dakota,N,1
2019,South Dakota,W,2
2019,Tennessee,B,9
2019,Tennessee,O,4
2019,Tennessee,W,20
2019,Texas,A,2
2019,Texas,B,21
2019,Texas,H,26
2019,Texas,O,21
2019,Texas,W,38
2019,Utah,B,2
2019,Utah,H,3
2019,Utah,O,1
2019,Utah,W,6
2019,Vermont,O,1
2019,Vermont,W,2
2019,Virginia,B,2
2019,Virginia,O,1
2019,Virginia,W,7
2019,Washington,A,2
2019,Washington,B,8
2019,Washington,H,8
2019,Washington,N,1
2019,Washington,O,6
2019,Washington,W,11
2019,West Virginia,A,1
2019,West Virginia,B,2
2019,West Virginia,O,1
2019,West Virginia,W,9
2019,Wisconsin,A,1
2019,Wisconsin,B,3
2019,Wisconsin,H,3
2019,Wisconsin,O,1
2019,Wisconsin,W,10
2019,Wyoming,N,1
