year,race,age,count
2019,A,16,1
2019,A,20,1
2019,A,23,1
2019,A,26,1
2019,A,31,1
2019,A,32,2
2019,A,34,1
2019,A,35,1
2019,A,38,2
2019,A,45,1
2019,A,46,1
2019,A,47,1
2019,A,49,2
2019,A,52,1
2019,A,54,1
2019,B,17,4
2019,B,18,9
2019,B,19,8
2019,B,20,7
2019,B,21,9
2019,B,22,11
2019,B,23,8
2019,B,24,9
2019,B,25,6
2019,B,26,7
2019,B,27,12
2019,B,28,11
2019,B,29,3
2019,B,30,11
2019,B,31,17
2019,B,32,11
2019,B,33,6
2019,B,34,7
2019,B,35,5
2019,B,36,4
2019,B,37,7
2019,B,38,4
2019,B,39,8
2019,B,40,4
2019,B,41,5
2019,B,42,2
2019,B,43,3
2019,B,44,2
2019,B,45,4
2019,B,46,4
2019,B,47,3
2019,B,48,1
2019,B,49,4
2019,B,50,2
2019,B,51,2
2019,B,52,2
2019,B,53,1
2019,B,54,2
2019,B,55,1
2019,B,57,2
2019,B,58,2
2019,B,60,1
2019,B,61,3
2019,B,62,1
2019,B,65,1
2019,B,67,1
2019,B,68,2
2019,B,70,1
2019,B,74,1
2019,H,14,1
2019,H,16,2
2019,H,17,3
2019,H,18,5
2019,H,19,1
2019,H,20,4
2019,H,21,4
2019,H,22,4
2019,H,24,2
2019,H,25,2
2019,H,26,7
2019,H,27,4
2019,H,28,6
2019,H,29,9
2019,H,30,4
2019,H,31,1
2019,H,32,4
2019,H,33,8
2019,H,34,9
2019,H,35,10
2019,H,36,2
2019,H,37,10
2019,H,38,9
2019,H,39,4
2019,H,40,3
2019,H,41,5
2019,H,42,4
2019,H,43,1
2019,H,45,2
2019,H,46,2
2019,H,47,4
2019,H,48,1
2019,H,49,1
2019,H,50,4
2019,H,51,3
2019,H,52,4
2019,H,53,1
2019,H,55,1
2019,H,57,1
2019,H,59,1
2019,H,61,1
2019,H,62,1
2019,H,63,1
2019,N,18,1
2019,N,25,2
2019,N,27,2
2019,N,32,1
2019,N,34,1
2019,N,35,1
2019,N,39,1
2019,N,40,1
2019,N,42,1
2019,N,58,1
2019,O,23,1
2019,O,27,1
2019,O,30,1
2019,O,34,1
2019,O,36,1
2019,O,40,1
2019,O,45,1
2019,O,51,1
2019,O,59,1
2019,W,17,2
2019,W,18,1
2019,W,19,3
2019,W,20,9
2019,W,21,3
2019,W,22,3
2019,W,23,6
2019,W,24,5
2019,W,25,9
2019,W,26,9
2019,W,27,11
2019,W,28,18
2019,W,29,17
2019,W,30,10
2019,W,31,13
2019,W,32,7
2019,W,33,12
2019,W,34,17
2019,W,35,10
2019,W,36,8
2019,W,37,7
2019,W,38,10
2019,W,39,7
2019,W,40,7
2019,W,41,10
2019,W,42,12
2019,W,43,7
2019,W,44,6
2019,W,45,10
2019,W,46,10
2019,W,47,12
2019,W,48,9
2019,W,49,9
2019,W,50,5
2019,W,51,9
2019,W,52,5
2019,W,53,4
2019,W,54,5
2019,W,55,4
2019,W,56,8
2019,W,57,9
2019,W,58,11
2019,W,59,6
2019,W,60,3
2019,W,61,5
2019,W,62,4
2019,W,63,4
2019,W,64,2
2019,W,65,3
2019,W,66,2
2019,W,67,1
2019,W,68,2
2019,W,69,1
2019,W,70,1
2019,W,74,1
2019,W,75,1
2019,W,76,2
2019,W,77,1
2019,W,80,1
