date,count,total
1/2/2015,2,2
1/3/2015,1,3
1/4/2015,3,6
1/5/2015,1,7
1/6/2015,4,11
1/7/2015,4,15
1/8/2015,4,19
1/9/2015,2,21
1/11/2015,3,24
1/13/2015,2,26
1/14/2015,6,32
1/15/2015,5,37
1/16/2015,2,39
1/17/2015,3,42
1/18/2015,2,44
1/19/2015,1,45
1/20/2015,1,46
1/21/2015,4,50
1/22/2015,2,52
1/23/2015,3,55
1/24/2015,3,58
1/25/2015,2,60
1/26/2015,4,64
1/27/2015,4,68
1/28/2015,3,71
1/29/2015,2,73
1/30/2015,1,74
1/31/2015,2,76
2/2/2015,3,79
2/3/2015,4,83
2/4/2015,6,89
2/5/2015,1,90
2/6/2015,1,91
2/7/2015,2,93
2/8/2015,5,98
2/9/2015,2,100
2/10/2015,3,103
2/11/2015,2,105
2/13/2015,5,110
2/14/2015,2,112
2/15/2015,3,115
2/16/2015,3,118
2/17/2015,5,123
2/18/2015,1,124
2/20/2015,4,128
2/21/2015,2,130
2/22/2015,1,131
2/23/2015,6,137
2/24/2015,1,138
2/25/2015,2,140
2/26/2015,5,145
2/27/2015,1,146
2/28/2015,7,153
3/1/2015,3,156
3/2/2015,1,157
3/3/2015,2,159
3/4/2015,2,161
3/5/2015,3,164
3/6/2015,3,167
3/7/2015,1,168
3/8/2015,3,171
3/9/2015,4,175
3/10/2015,4,179
3/11/2015,7,186
3/13/2015,4,190
3/14/2015,3,193
3/15/2015,1,194
3/16/2015,2,196
3/17/2015,5,201
3/18/2015,3,204
3/19/2015,6,210
3/20/2015,3,213
3/21/2015,4,217
3/22/2015,3,220
3/23/2015,1,221
3/24/2015,3,224
3/25/2015,4,228
3/26/2015,2,230
3/27/2015,7,237
3/29/2015,2,239
3/30/2015,2,241
3/31/2015,3,244
4/1/2015,2,246
4/2/2015,4,250
4/3/2015,1,251
4/4/2015,4,255
4/5/2015,2,257
4/6/2015,3,260
4/7/2015,1,261
4/8/2015,4,265
4/9/2015,5,270
4/10/2015,2,272
4/11/2015,1,273
4/12/2015,3,276
4/13/2015,1,277
4/14/2015,2,279
4/15/2015,6,285
4/16/2015,1,286
4/17/2015,3,289
4/18/2015,2,291
4/19/2015,2,293
4/20/2015,1,294
4/21/2015,4,298
4/22/2015,5,303
4/23/2015,3,306
4/24/2015,4,310
4/25/2015,3,313
4/26/2015,3,316
4/27/2015,1,317
4/28/2015,3,320
4/29/2015,6,326
4/30/2015,2,328
5/2/2015,1,329
5/3/2015,5,334
5/4/2015,1,335
5/5/2015,3,338
5/6/2015,1,339
5/7/2015,3,342
5/8/2015,4,346
5/10/2015,2,348
5/11/2015,2,350
5/12/2015,3,353
5/14/2015,2,355
5/15/2015,2,357
5/16/2015,1,358
5/17/2015,3,361
5/19/2015,3,364
5/20/2015,5,369
5/21/2015,5,374
5/22/2015,1,375
5/23/2015,3,378
5/25/2015,2,380
5/26/2015,3,383
5/27/2015,5,388
5/28/2015,4,392
5/29/2015,3,395
5/30/2015,2,397
5/31/2015,2,399
6/1/2015,1,400
6/2/2015,2,402
6/3/2015,5,407
6/5/2015,2,409
6/6/2015,5,414
6/7/2015,2,416
6/8/2015,3,419
6/9/2015,4,423
6/10/2015,1,424
6/11/2015,5,429
6/12/2015,1,430
6/13/2015,3,433
6/14/2015,2,435
6/15/2015,1,436
6/16/2015,2,438
6/17/2015,2,440
6/18/2015,1,441
6/19/2015,3,444
6/20/2015,1,445
6/21/2015,2,447
6/22/2015,4,451
6/23/2015,4,455
6/24/2015,1,456
6/25/2015,2,458
6/26/2015,2,460
6/27/2015,1,461
6/28/2015,1,462
6/29/2015,1,463
6/30/2015,1,464
7/1/2015,2,466
7/2/2015,4,470
7/3/2015,4,474
7/4/2015,4,478
7/5/2015,4,482
7/6/2015,5,487
7/7/2015,8,495
7/8/2015,2,497
