date,count,total
01/02/2015,2,2
01/03/2015,1,3
01/04/2015,3,6
01/05/2015,1,7
01/06/2015,4,11
01/07/2015,4,15
01/08/2015,4,19
01/09/2015,2,21
01/11/2015,3,24
01/13/2015,2,26
01/14/2015,6,32
01/15/2015,5,37
01/16/2015,2,39
01/17/2015,3,42
01/18/2015,2,44
01/19/2015,1,45
01/20/2015,1,46
01/21/2015,4,50
01/22/2015,2,52
01/23/2015,3,55
01/24/2015,3,58
01/25/2015,2,60
01/26/2015,4,64
01/27/2015,4,68
01/28/2015,3,71
01/29/2015,2,73
01/30/2015,1,74
01/31/2015,2,76
02/02/2015,3,79
02/03/2015,4,83
02/04/2015,6,89
02/05/2015,1,90
02/06/2015,1,91
02/07/2015,2,93
02/08/2015,5,98
02/09/2015,2,100
02/10/2015,3,103
02/11/2015,2,105
02/13/2015,5,110
02/14/2015,2,112
02/15/2015,3,115
02/16/2015,3,118
02/17/2015,5,123
02/18/2015,1,124
02/20/2015,4,128
02/21/2015,2,130
02/22/2015,1,131
02/23/2015,6,137
02/24/2015,1,138
02/25/2015,2,140
02/26/2015,5,145
02/27/2015,1,146
02/28/2015,7,153
03/01/2015,3,156
03/02/2015,1,157
03/03/2015,2,159
03/04/2015,2,161
03/05/2015,3,164
03/06/2015,3,167
03/07/2015,1,168
03/08/2015,3,171
03/09/2015,4,175
03/10/2015,4,179
03/11/2015,7,186
03/13/2015,4,190
03/14/2015,3,193
03/15/2015,1,194
03/16/2015,2,196
03/17/2015,5,201
03/18/2015,3,204
03/19/2015,6,210
03/20/2015,3,213
03/21/2015,4,217
03/22/2015,3,220
03/23/2015,1,221
03/24/2015,3,224
03/25/2015,4,228
03/26/2015,2,230
03/27/2015,7,237
03/29/2015,2,239
03/30/2015,2,241
03/31/2015,3,244
04/01/2015,2,246
04/02/2015,4,250
04/03/2015,1,251
04/04/2015,4,255
04/05/2015,2,257
04/06/2015,3,260
04/07/2015,1,261
04/08/2015,4,265
04/09/2015,5,270
04/10/2015,2,272
04/11/2015,1,273
04/12/2015,3,276
04/13/2015,1,277
04/14/2015,2,279
04/15/2015,6,285
04/16/2015,1,286
04/17/2015,3,289
04/18/2015,2,291
04/19/2015,2,293
04/20/2015,1,294
04/21/2015,4,298
04/22/2015,5,303
04/23/2015,3,306
04/24/2015,4,310
04/25/2015,3,313
04/26/2015,3,316
04/27/2015,1,317
04/28/2015,3,320
04/29/2015,6,326
04/30/2015,2,328
05/02/2015,1,329
05/03/2015,5,334
05/04/2015,1,335
05/05/2015,3,338
05/06/2015,1,339
05/07/2015,3,342
05/08/2015,4,346
05/10/2015,2,348
05/11/2015,2,350
05/12/2015,3,353
05/14/2015,2,355
05/15/2015,2,357
05/16/2015,1,358
05/17/2015,3,361
05/19/2015,3,364
05/20/2015,5,369
05/21/2015,5,374
05/22/2015,1,375
05/23/2015,3,378
05/25/2015,2,380
05/26/2015,3,383
05/27/2015,5,388
05/28/2015,4,392
05/29/2015,3,395
05/30/2015,2,397
05/31/2015,2,399
06/01/2015,1,400
06/02/2015,2,402
06/03/2015,5,407
06/05/2015,2,409
06/06/2015,5,414
06/07/2015,2,416
06/08/2015,3,419
06/09/2015,4,423
06/10/2015,1,424
06/11/2015,5,429
06/12/2015,1,430
06/13/2015,3,433
06/14/2015,2,435
06/15/2015,1,436
06/16/2015,2,438
06/17/2015,2,440
06/18/2015,1,441
06/19/2015,3,444
06/20/2015,1,445
06/21/2015,2,447
06/22/2015,4,451
06/23/2015,4,455
06/24/2015,1,456
06/25/2015,2,458
06/26/2015,2,460
06/27/2015,1,461
06/28/2015,1,462
06/29/2015,1,463
06/30/2015,1,464
07/01/2015,2,466
07/02/2015,4,470
07/03/2015,4,474
07/04/2015,4,478
07/05/2015,4,482
07/06/2015,5,487
07/07/2015,8,495
07/08/2015,2,497
07/09/2015,6,503
07/10/2015,3,506
07/11/2015,1,507
07/12/2015,5,512
07/13/2015,4,516
07/14/2015,2,518
07/15/2015,1,519
07/16/2015,7,526
07/17/2015,5,531
07/18/2015,3,534
07/19/2015,1,535
07/20/2015,2,537
07/21/2015,3,540
07/22/2015,3,543
07/23/2015,5,548
07/24/2015,2,550
07/25/2015,4,554
07/26/2015,2,556
07/27/2015,3,559
07/28/2015,1,560
07/29/2015,2,562
07/30/2015,4,566
07/31/2015,2,568
08/01/2015,2,570
08/02/2015,1,571
08/03/2015,4,575
08/04/2015,2,577
08/05/2015,6,583
08/06/2015,2,585
08/07/2015,6,591
08/08/2015,4,595
08/09/2015,4,599
08/10/2015,1,600
08/11/2015,2,602
08/12/2015,6,608
08/14/2015,4,612
08/15/2015,4,616
08/16/2015,2,618
08/17/2015,2,620
08/19/2015,4,624
08/20/2015,3,627
08/21/2015,3,630
08/22/2015,5,635
08/23/2015,5,640
08/25/2015,5,645
08/26/2015,3,648
08/27/2015,4,652
08/28/2015,4,656
08/29/2015,3,659
08/30/2015,2,661
08/31/2015,1,662
09/01/2015,3,665
09/02/2015,1,666
09/03/2015,1,667
09/04/2015,5,672
09/05/2015,4,676
09/06/2015,3,679
09/07/2015,1,680
09/08/2015,1,681
09/09/2015,4,685
09/10/2015,5,690
09/11/2015,2,692
09/12/2015,2,694
09/13/2015,3,697
09/14/2015,2,699
09/15/2015,5,704
09/16/2015,1,705
09/17/2015,2,707
09/18/2015,2,709
09/19/2015,2,711
09/20/2015,2,713
09/21/2015,6,719
09/22/2015,4,723
09/23/2015,5,728
09/24/2015,3,731
09/25/2015,3,734
09/26/2015,2,736
09/27/2015,3,739
09/28/2015,2,741
09/29/2015,2,743
09/30/2015,1,744
10/02/2015,4,748
10/04/2015,3,751
10/05/2015,4,755
10/06/2015,1,756
10/07/2015,1,757
10/09/2015,2,759
10/10/2015,5,764
10/11/2015,4,768
10/12/2015,2,770
10/14/2015,5,775
10/15/2015,7,782
10/16/2015,4,786
10/17/2015,2,788
10/18/2015,2,790
10/19/2015,1,791
10/20/2015,5,796
10/21/2015,3,799
10/22/2015,3,802
10/24/2015,7,809
10/25/2015,1,810
10/26/2015,2,812
10/27/2015,1,813
10/28/2015,4,817
10/29/2015,2,819
10/30/2015,6,825
10/31/2015,2,827
11/01/2015,3,830
11/03/2015,1,831
11/04/2015,4,835
11/05/2015,4,839
11/06/2015,3,842
11/09/2015,5,847
11/10/2015,4,851
11/11/2015,4,855
11/12/2015,1,856
11/13/2015,3,859
