race,state,statecode,count
A,Alabama,AL,63800
B,Alabama,AL,1257300
H,Alabama,AL,204800
N,Alabama,AL,19000
O,Alabama,AL,90700
total,Alabama,AL,4752600
W,Alabama,AL,3115600
A,Alaska,AK,43200
B,Alaska,AK,20700
H,Alaska,AK,50200
N,Alaska,AK,110300
O,Alaska,AK,58500
total,Alaska,AK,709100
W,Alaska,AK,426100
A,Arizona,AZ,227200
B,Arizona,AZ,297000
H,Arizona,AZ,2213600
N,Arizona,AZ,271900
O,Arizona,AZ,179400
total,Arizona,AZ,7004300
W,Arizona,AZ,3815100
A,Arkansas,AR,44200
B,Arkansas,AR,436900
H,Arkansas,AR,224900
N,Arkansas,AR,17000
O,Arkansas,AR,87900
total,Arkansas,AR,2921300
W,Arkansas,AR,2110400
A,California,CA,5669100
B,California,CA,2074900
H,California,CA,15261300
N,California,CA,120300
O,California,CA,1413200
total,California,CA,38745900
W,California,CA,14206900
A,Colorado,CO,176400
B,Colorado,CO,212200
H,Colorado,CO,1200900
N,Colorado,CO,27600
O,Colorado,CO,163400
total,Colorado,CO,5555200
W,Colorado,CO,3774700
A,Connecticut,CT,161300
B,Connecticut,CT,343000
H,Connecticut,CT,576400
N,Connecticut,CT,4900
O,Connecticut,CT,82500
total,Connecticut,CT,3466300
W,Connecticut,CT,2298100
A,Delaware,DE,39100
B,Delaware,DE,199900
H,Delaware,DE,88900
N,Delaware,DE,3300
O,Delaware,DE,23700
total,Delaware,DE,937700
W,Delaware,DE,582600
A,Florida,FL,571800
B,Florida,FL,3141700
H,Florida,FL,5488400
N,Florida,FL,39300
O,Florida,FL,500600
total,Florida,FL,20843500
W,Florida,FL,11101600
A,Georgia,GA,421200
B,Georgia,GA,3158000
H,Georgia,GA,994300
N,Georgia,GA,16300
O,Georgia,GA,265100
total,Georgia,GA,10212800
W,Georgia,GA,5358000
A,Hawaii,HI,512800
B,Hawaii,HI,20400
H,Hawaii,HI,142100
N,Hawaii,HI,
O,Hawaii,HI,399600
total,Hawaii,HI,1354800
W,Hawaii,HI,278500
A,Idaho,ID,27300
B,Idaho,ID,9300
H,Idaho,ID,217500
N,Idaho,ID,18100
O,Idaho,ID,37100
total,Idaho,ID,1719600
W,Idaho,ID,1407600
A,Illinois,IL,700500
B,Illinois,IL,1685200
H,Illinois,IL,2173800
N,Illinois,IL,14600
O,Illinois,IL,275800
total,Illinois,IL,12438400
W,Illinois,IL,7588300
A,Indiana,IN,147400
B,Indiana,IN,600600
H,Indiana,IN,460900
N,Indiana,IN,8500
O,Indiana,IN,145400
total,Indiana,IN,6487100
W,Indiana,IN,5121300
A,Iowa,IA,79400
B,Iowa,IA,102300
H,Iowa,IA,186400
N,Iowa,IA,9000
O,Iowa,IA,60400
total,Iowa,IA,3056800
W,Iowa,IA,2614600
A,Kansas,KS,78800
B,Kansas,KS,150700
H,Kansas,KS,336500
N,Kansas,KS,16000
O,Kansas,KS,91000
total,Kansas,KS,2814700
W,Kansas,KS,2137700
A,Kentucky,KY,63100
B,Kentucky,KY,328400
H,Kentucky,KY,155000
N,Kentucky,KY,5600
O,Kentucky,KY,100900
total,Kentucky,KY,4320300
W,Kentucky,KY,3664300
A,Louisiana,LA,72900
B,Louisiana,LA,1429700
H,Louisiana,LA,229400
N,Louisiana,LA,22700
O,Louisiana,LA,105500
total,Louisiana,LA,4519300
W,Louisiana,LA,2658300
A,Maine,ME,17100
B,Maine,ME,17400
H,Maine,ME,19500
N,Maine,ME,5100
O,Maine,ME,26900
total,Maine,ME,1299500
W,Maine,ME,1213400
A,Maryland,MD,374500
B,Maryland,MD,1720400
H,Maryland,MD,613900
N,Maryland,MD,8900
O,Maryland,MD,197600
total,Maryland,MD,5870800
W,Maryland,MD,2953400
A,Massachusetts,MA,444600
B,Massachusetts,MA,465500
H,Massachusetts,MA,824800
N,Massachusetts,MA,11000
O,Massachusetts,MA,195000
total,Massachusetts,MA,6659900
W,Massachusetts,MA,4717100
A,Michigan,MI,315800
B,Michigan,MI,1321900
H,Michigan,MI,502900
N,Michigan,MI,48200
O,Michigan,MI,252000
total,Michigan,MI,9770000
W,Michigan,MI,7327100
A,Minnesota,MN,259600
B,Minnesota,MN,356100
H,Minnesota,MN,296100
N,Minnesota,MN,51700
O,Minnesota,MN,152900
total,Minnesota,MN,5489000
W,Minnesota,MN,4370100
A,Mississippi,MS,25300
B,Mississippi,MS,1084700
H,Mississippi,MS,81200
N,Mississippi,MS,12000
O,Mississippi,MS,41300
total,Mississippi,MS,2879400
W,Mississippi,MS,1633600
A,Missouri,MO,119300
B,Missouri,MO,670600
H,Missouri,MO,240400
N,Missouri,MO,20500
O,Missouri,MO,164300
total,Missouri,MO,5934500
W,Missouri,MO,4719400
A,Montana,MT,6800
B,Montana,MT,3700
H,Montana,MT,40500
N,Montana,MT,60400
O,Montana,MT,32000
total,Montana,MT,1034000
W,Montana,MT,890100
A,Nebraska,NE,42800
B,Nebraska,NE,82100
H,Nebraska,NE,206800
N,Nebraska,NE,12500
O,Nebraska,NE,54400
total,Nebraska,NE,1868900
W,Nebraska,NE,1470100
A,Nevada,NV,241600
B,Nevada,NV,258700
H,Nevada,NV,866800
N,Nevada,NV,28700
O,Nevada,NV,140200
total,Nevada,NV,2983400
W,Nevada,NV,1447500
A,New Hampshire,NH,37000
B,New Hampshire,NH,14600
H,New Hampshire,NH,49900
N,New Hampshire,NH,
O,New Hampshire,NH,24000
total,New Hampshire,NH,1310300
W,New Hampshire,NH,1181500
A,New Jersey,NJ,842500
B,New Jersey,NJ,1100300
H,New Jersey,NJ,1812100
N,New Jersey,NJ,8900
O,New Jersey,NJ,185600
total,New Jersey,NJ,8728300
W,New Jersey,NJ,4776900
A,New Mexico,NM,31200
B,New Mexico,NM,37100
H,New Mexico,NM,1004800
N,New Mexico,NM,181000
O,New Mexico,NM,34500
total,New Mexico,NM,2045300
