year,month_num,month,count
2015,1,Jan,70
2015,2,Feb,147
2015,3,Mar,234
2015,4,Apr,322
2015,5,May,407
2015,6,Jun,475
2015,7,Jul,560
2015,8,Aug,646
2015,9,Sep,736
2015,10,Oct,827
2015,11,Nov,907
2015,12,Dec,990
2016,1,Jan,84
2016,2,Feb,163
2016,3,Mar,252
2016,4,Apr,326
2016,5,May,408
2016,6,Jun,497
2016,7,Jul,575
2016,8,Aug,654
2016,9,Sep,725
2016,10,Oct,802
2016,11,Nov,884
2016,12,Dec,957
2017,1,Jan,93
2017,2,Feb,173
2017,3,Mar,259
2017,4,Apr,350
2017,5,May,425
2017,6,Jun,503
2017,7,Jul,589
2017,8,Aug,672
2017,9,Sep,746
2017,10,Oct,834
2017,11,Nov,906
2017,12,Dec,984
2018,1,Jan,99
2018,2,Feb,167
2018,3,Mar,256
2018,4,Apr,328
2018,5,May,421
2018,6,Jun,513
2018,7,Jul,608
2018,8,Aug,681
2018,9,Sep,746
2018,10,Oct,819
2018,11,Nov,902
2018,12,Dec,989
2019,1,Jan,98
2019,2,Feb,168
2019,3,Mar,254
2019,4,Apr,325
2019,5,May,415
2019,6,Jun,495
2019,7,Jul,575
2019,8,Aug,643
2019,9,Sep,728
2019,10,Oct,821
2019,11,Nov,901
2019,12,Dec,998
2020,1,Jan,73
2020,2,Feb,142
2020,3,Mar,216
2020,4,Apr,271
2020,5,June,365
