,year,race,age,count,binned
0,2015,A,25,1,21-40 Years
1,2015,A,28,2,21-40 Years
2,2015,A,31,1,21-40 Years
3,2015,A,32,1,21-40 Years
4,2015,A,35,2,21-40 Years
5,2015,A,39,2,21-40 Years
6,2015,A,44,1,41-60 Years
7,2015,A,53,1,41-60 Years
8,2015,A,59,1,41-60 Years
9,2015,A,60,1,41-60 Years
10,2015,B,15,1,<=20 Years
11,2015,B,16,3,<=20 Years
12,2015,B,17,1,<=20 Years
13,2015,B,18,7,<=20 Years
14,2015,B,19,8,<=20 Years
15,2015,B,20,11,<=20 Years
16,2015,B,21,10,21-40 Years
17,2015,B,22,4,21-40 Years
18,2015,B,23,11,21-40 Years
19,2015,B,24,12,21-40 Years
20,2015,B,25,18,21-40 Years
21,2015,B,26,8,21-40 Years
22,2015,B,27,11,21-40 Years
23,2015,B,28,11,21-40 Years
24,2015,B,29,12,21-40 Years
25,2015,B,30,10,21-40 Years
26,2015,B,31,9,21-40 Years
27,2015,B,32,5,21-40 Years
28,2015,B,33,7,21-40 Years
29,2015,B,34,9,21-40 Years
30,2015,B,35,6,21-40 Years
31,2015,B,36,9,21-40 Years
32,2015,B,37,6,21-40 Years
33,2015,B,38,5,21-40 Years
34,2015,B,39,6,21-40 Years
35,2015,B,40,3,21-40 Years
36,2015,B,41,5,41-60 Years
37,2015,B,42,5,41-60 Years
38,2015,B,43,3,41-60 Years
39,2015,B,44,2,41-60 Years
40,2015,B,45,4,41-60 Years
41,2015,B,46,3,41-60 Years
42,2015,B,47,1,41-60 Years
43,2015,B,48,3,41-60 Years
44,2015,B,49,2,41-60 Years
45,2015,B,50,1,41-60 Years
46,2015,B,51,3,41-60 Years
47,2015,B,53,3,41-60 Years
48,2015,B,54,1,41-60 Years
49,2015,B,55,2,41-60 Years
50,2015,B,56,1,41-60 Years
51,2015,B,57,2,41-60 Years
52,2015,B,59,1,41-60 Years
53,2015,B,61,1,Over 60 Years
54,2015,B,63,1,Over 60 Years
55,2015,B,64,1,Over 60 Years
56,2015,B,67,1,Over 60 Years
57,2015,B,74,1,Over 60 Years
58,2015,B,77,1,Over 60 Years
59,2015,H,15,1,<=20 Years
60,2015,H,17,2,<=20 Years
61,2015,H,18,3,<=20 Years
62,2015,H,19,3,<=20 Years
63,2015,H,21,5,21-40 Years
64,2015,H,22,8,21-40 Years
65,2015,H,23,7,21-40 Years
66,2015,H,24,7,21-40 Years
67,2015,H,25,6,21-40 Years
68,2015,H,26,4,21-40 Years
69,2015,H,27,9,21-40 Years
70,2015,H,28,10,21-40 Years
71,2015,H,29,9,21-40 Years
72,2015,H,30,3,21-40 Years
73,2015,H,31,6,21-40 Years
74,2015,H,32,5,21-40 Years
75,2015,H,33,5,21-40 Years
76,2015,H,34,7,21-40 Years
77,2015,H,35,9,21-40 Years
78,2015,H,36,6,21-40 Years
79,2015,H,37,4,21-40 Years
80,2015,H,38,2,21-40 Years
81,2015,H,39,6,21-40 Years
82,2015,H,40,6,21-40 Years
83,2015,H,41,3,41-60 Years
84,2015,H,42,4,41-60 Years
85,2015,H,43,2,41-60 Years
86,2015,H,44,2,41-60 Years
87,2015,H,45,4,41-60 Years
88,2015,H,46,3,41-60 Years
89,2015,H,47,3,41-60 Years
90,2015,H,49,3,41-60 Years
91,2015,H,50,3,41-60 Years
92,2015,H,51,2,41-60 Years
93,2015,H,52,1,41-60 Years
94,2015,H,54,1,41-60 Years
95,2015,H,55,2,41-60 Years
96,2015,H,56,1,41-60 Years
97,2015,H,58,1,41-60 Years
98,2015,H,59,2,41-60 Years
99,2015,H,69,1,Over 60 Years
100,2015,N,19,1,<=20 Years
101,2015,N,23,1,21-40 Years
102,2015,N,24,1,21-40 Years
103,2015,N,26,1,21-40 Years
104,2015,N,31,1,21-40 Years
105,2015,N,33,1,21-40 Years
106,2015,N,35,1,21-40 Years
107,2015,N,37,1,21-40 Years
108,2015,N,46,1,41-60 Years
109,2015,O,18,2,<=20 Years
110,2015,O,20,1,<=20 Years
111,2015,O,24,1,21-40 Years
112,2015,O,27,2,21-40 Years
113,2015,O,28,1,21-40 Years
114,2015,O,30,2,21-40 Years
115,2015,O,34,1,21-40 Years
116,2015,O,42,1,41-60 Years
117,2015,O,46,1,41-60 Years
118,2015,O,48,2,41-60 Years
119,2015,O,50,1,41-60 Years
120,2015,W,6,1,<=20 Years
121,2015,W,15,1,<=20 Years
122,2015,W,16,1,<=20 Years
123,2015,W,17,7,<=20 Years
124,2015,W,18,7,<=20 Years
125,2015,W,19,4,<=20 Years
126,2015,W,20,7,<=20 Years
127,2015,W,21,7,21-40 Years
128,2015,W,22,8,21-40 Years
129,2015,W,23,11,21-40 Years
130,2015,W,24,15,21-40 Years
131,2015,W,25,9,21-40 Years
132,2015,W,26,13,21-40 Years
133,2015,W,27,14,21-40 Years
134,2015,W,28,12,21-40 Years
135,2015,W,29,14,21-40 Years
136,2015,W,30,16,21-40 Years
137,2015,W,31,20,21-40 Years
138,2015,W,32,13,21-40 Years
139,2015,W,33,7,21-40 Years
140,2015,W,34,15,21-40 Years
141,2015,W,35,16,21-40 Years
142,2015,W,36,19,21-40 Years
143,2015,W,37,8,21-40 Years
144,2015,W,38,7,21-40 Years
145,2015,W,39,9,21-40 Years
146,2015,W,40,10,21-40 Years
147,2015,W,41,9,41-60 Years
148,2015,W,42,9,41-60 Years
149,2015,W,43,8,41-60 Years
150,2015,W,44,6,41-60 Years
151,2015,W,45,19,41-60 Years
152,2015,W,46,11,41-60 Years
153,2015,W,47,17,41-60 Years
154,2015,W,48,8,41-60 Years
155,2015,W,49,15,41-60 Years
156,2015,W,50,10,41-60 Years
157,2015,W,51,11,41-60 Years
158,2015,W,52,9,41-60 Years
159,2015,W,53,13,41-60 Years
160,2015,W,54,5,41-60 Years
161,2015,W,55,4,41-60 Years
162,2015,W,56,8,41-60 Years
163,2015,W,57,8,41-60 Years
164,2015,W,58,8,41-60 Years
165,2015,W,59,7,41-60 Years
166,2015,W,60,7,41-60 Years
167,2015,W,61,4,Over 60 Years
168,2015,W,62,4,Over 60 Years
169,2015,W,63,5,Over 60 Years
170,2015,W,64,2,Over 60 Years
171,2015,W,65,1,Over 60 Years
172,2015,W,66,3,Over 60 Years
173,2015,W,67,1,Over 60 Years
174,2015,W,68,3,Over 60 Years
175,2015,W,69,1,Over 60 Years
176,2015,W,71,2,Over 60 Years
177,2015,W,72,1,Over 60 Years
178,2015,W,75,1,Over 60 Years
179,2015,W,76,2,Over 60 Years
180,2015,W,83,1,Over 60 Years
