year,state,race,count
2015,Alabama,B,6
2015,Alabama,W,11
2015,Alaska,N,2
2015,Alaska,W,2
2015,Arizona,B,1
2015,Arizona,H,12
2015,Arizona,N,2
2015,Arizona,W,27
2015,Arkansas,B,1
2015,Arkansas,W,3
2015,California,A,8
2015,California,B,34
2015,California,H,76
2015,California,O,7
2015,California,W,57
2015,Colorado,A,2
2015,Colorado,B,5
2015,Colorado,H,9
2015,Colorado,N,1
2015,Colorado,W,11
2015,Connecticut,W,2
2015,Delaware,B,1
2015,Delaware,W,2
2015,Florida,B,26
2015,Florida,H,9
2015,Florida,O,1
2015,Florida,W,25
2015,Georgia,B,10
2015,Georgia,W,17
2015,Hawaii,B,1
2015,Hawaii,O,1
2015,Idaho,H,1
2015,Idaho,W,6
2015,Illinois,B,13
2015,Illinois,H,3
2015,Illinois,W,5
2015,Indiana,B,6
2015,Indiana,H,1
2015,Indiana,W,11
2015,Iowa,W,5
2015,Kansas,H,2
2015,Kansas,W,7
2015,Kentucky,B,4
2015,Kentucky,H,1
2015,Kentucky,W,10
2015,Louisiana,A,1
2015,Louisiana,B,14
2015,Louisiana,W,11
2015,Maine,W,2
2015,Maryland,B,12
2015,Maryland,W,3
2015,Massachusetts,B,2
2015,Massachusetts,H,2
2015,Massachusetts,W,5
2015,Michigan,B,6
2015,Michigan,W,10
2015,Minnesota,B,3
2015,Minnesota,O,1
2015,Minnesota,W,8
2015,Mississippi,B,1
2015,Mississippi,W,7
2015,Missouri,B,8
2015,Missouri,W,13
2015,Montana,W,4
2015,Nebraska,B,1
2015,Nebraska,W,7
2015,Nevada,B,3
2015,Nevada,H,3
2015,Nevada,W,11
2015,New Hampshire,W,3
2015,New Jersey,B,4
2015,New Jersey,H,3
2015,New Jersey,W,7
2015,New Mexico,H,11
2015,New Mexico,W,9
2015,New York,A,1
2015,New York,B,8
2015,New York,W,9
2015,North Carolina,B,7
2015,North Carolina,W,15
2015,North Dakota,N,1
2015,Ohio,B,13
2015,Ohio,O,1
2015,Ohio,W,14
2015,Oklahoma,B,9
2015,Oklahoma,H,1
2015,Oklahoma,W,20
2015,Oregon,B,1
2015,Oregon,W,13
2015,Pennsylvania,B,8
2015,Pennsylvania,H,1
2015,Pennsylvania,W,8
2015,South Carolina,B,9
2015,South Carolina,W,10
2015,South Dakota,N,1
2015,South Dakota,W,2
2015,Tennessee,B,4
2015,Tennessee,H,1
2015,Tennessee,O,1
2015,Tennessee,W,13
2015,Texas,A,1
2015,Texas,B,19
2015,Texas,H,32
2015,Texas,O,1
2015,Texas,W,46
2015,Utah,O,1
2015,Utah,W,9
2015,Vermont,W,1
2015,Virginia,B,10
2015,Virginia,H,1
2015,Virginia,W,7
2015,Washington,A,1
2015,Washington,H,1
2015,Washington,N,1
2015,Washington,O,1
2015,Washington,W,12
2015,West Virginia,B,2
2015,West Virginia,W,6
2015,Wisconsin,B,2
2015,Wisconsin,H,2
2015,Wisconsin,W,7
2015,Wyoming,N,1
2015,Wyoming,W,4
2016,Alabama,B,6
2016,Alabama,W,17
2016,Alaska,N,3
2016,Alaska,W,3
2016,Arizona,B,2
2016,Arizona,H,17
2016,Arizona,N,6
2016,Arizona,W,20
2016,Arkansas,B,2
2016,Arkansas,W,10
2016,California,A,5
2016,California,B,21
2016,California,H,58
2016,California,W,43
2016,Colorado,B,2
2016,Colorado,H,8
2016,Colorado,W,17
2016,Connecticut,H,1
2016,Connecticut,W,3
2016,Delaware,W,1
2016,Florida,A,1
2016,Florida,B,16
2016,Florida,H,7
2016,Florida,O,1
2016,Florida,W,30
2016,Georgia,A,1
2016,Georgia,B,10
2016,Georgia,H,5
2016,Georgia,W,10
2016,Hawaii,A,1
2016,Hawaii,O,5
2016,Idaho,H,2
2016,Idaho,W,4
2016,Illinois,B,15
2016,Illinois,H,2
2016,Illinois,W,9
2016,Indiana,B,4
2016,Indiana,H,1
2016,Indiana,W,8
2016,Iowa,B,3
2016,Iowa,W,2
2016,Kansas,B,1
2016,Kansas,W,9
2016,Kentucky,B,2
2016,Kentucky,H,1
2016,Kentucky,W,15
2016,Louisiana,B,11
2016,Louisiana,W,7
2016,Maine,O,1
2016,Maine,W,1
2016,Maryland,B,9
