year,state,statecode,race,count
2015,Alabama,AL,B,6
2015,Alabama,AL,W,11
2015,Alaska,AK,N,2
2015,Alaska,AK,W,2
2015,Arizona,AZ,B,1
2015,Arizona,AZ,H,12
2015,Arizona,AZ,N,2
2015,Arizona,AZ,W,27
2015,Arkansas,AR,B,1
2015,Arkansas,AR,W,3
2015,California,CA,A,8
2015,California,CA,B,34
2015,California,CA,H,76
2015,California,CA,O,7
2015,California,CA,W,57
2015,Colorado,CO,A,2
2015,Colorado,CO,B,5
2015,Colorado,CO,H,9
2015,Colorado,CO,N,1
2015,Colorado,CO,W,11
2015,Connecticut,CT,W,2
2015,Delaware,DE,B,1
2015,Delaware,DE,W,2
2015,Florida,FL,B,26
2015,Florida,FL,H,9
2015,Florida,FL,O,1
2015,Florida,FL,W,25
2015,Georgia,GA,B,10
2015,Georgia,GA,W,17
2015,Hawaii,HI,B,1
2015,Hawaii,HI,O,1
2015,Idaho,ID,H,1
2015,Idaho,ID,W,6
2015,Illinois,IL,B,13
2015,Illinois,IL,H,3
2015,Illinois,IL,W,5
2015,Indiana,IN,B,6
2015,Indiana,IN,H,1
2015,Indiana,IN,W,11
2015,Iowa,IA,W,5
2015,Kansas,KS,H,2
2015,Kansas,KS,W,7
2015,Kentucky,KY,B,4
2015,Kentucky,KY,H,1
2015,Kentucky,KY,W,10
2015,Louisiana,LA,A,1
2015,Louisiana,LA,B,14
2015,Louisiana,LA,W,11
2015,Maine,ME,W,2
2015,Maryland,MD,B,12
2015,Maryland,MD,W,3
2015,Massachusetts,MA,B,2
2015,Massachusetts,MA,H,2
2015,Massachusetts,MA,W,5
2015,Michigan,MI,B,6
2015,Michigan,MI,W,10
2015,Minnesota,MN,B,3
2015,Minnesota,MN,O,1
2015,Minnesota,MN,W,8
2015,Mississippi,MS,B,1
2015,Mississippi,MS,W,7
2015,Missouri,MO,B,8
2015,Missouri,MO,W,13
2015,Montana,MT,W,4
2015,Nebraska,NE,B,1
2015,Nebraska,NE,W,7
2015,Nevada,NV,B,3
2015,Nevada,NV,H,3
2015,Nevada,NV,W,11
2015,New Hampshire,NH,W,3
2015,New Jersey,NJ,B,4
2015,New Jersey,NJ,H,3
2015,New Jersey,NJ,W,7
2015,New Mexico,NM,H,11
2015,New Mexico,NM,W,9
2015,New York,NY,A,1
2015,New York,NY,B,8
2015,New York,NY,W,9
2015,North Carolina,NC,B,7
2015,North Carolina,NC,W,15
2015,North Dakota,ND,N,1
2015,Ohio,OH,B,13
2015,Ohio,OH,O,1
2015,Ohio,OH,W,14
2015,Oklahoma,OK,B,9
2015,Oklahoma,OK,H,1
2015,Oklahoma,OK,W,20
2015,Oregon,OR,B,1
2015,Oregon,OR,W,13
2015,Pennsylvania,PA,B,8
2015,Pennsylvania,PA,H,1
2015,Pennsylvania,PA,W,8
2015,South Carolina,SC,B,9
2015,South Carolina,SC,W,10
2015,South Dakota,SD,N,1
2015,South Dakota,SD,W,2
2015,Tennessee,TN,B,4
2015,Tennessee,TN,H,1
2015,Tennessee,TN,O,1
2015,Tennessee,TN,W,13
2015,Texas,TX,A,1
2015,Texas,TX,B,19
2015,Texas,TX,H,32
2015,Texas,TX,O,1
2015,Texas,TX,W,46
2015,Utah,UT,O,1
2015,Utah,UT,W,9
2015,Vermont,VT,W,1
2015,Virginia,VA,B,10
2015,Virginia,VA,H,1
2015,Virginia,VA,W,7
2015,Washington,WA,A,1
2015,Washington,WA,H,1
2015,Washington,WA,N,1
2015,Washington,WA,O,1
2015,Washington,WA,W,12
2015,West Virginia,WV,B,2
2015,West Virginia,WV,W,6
2015,Wisconsin,WI,B,2
2015,Wisconsin,WI,H,2
2015,Wisconsin,WI,W,7
2015,Wyoming,WY,N,1
2015,Wyoming,WY,W,4
2016,Alabama,AL,B,6
2016,Alabama,AL,W,17
2016,Alaska,AK,N,3
2016,Alaska,AK,W,3
2016,Arizona,AZ,B,2
2016,Arizona,AZ,H,17
2016,Arizona,AZ,N,6
2016,Arizona,AZ,W,20
2016,Arkansas,AR,B,2
2016,Arkansas,AR,W,10
2016,California,CA,A,5
2016,California,CA,B,21
2016,California,CA,H,58
2016,California,CA,W,43
2016,Colorado,CO,B,2
2016,Colorado,CO,H,8
2016,Colorado,CO,W,17
2016,Connecticut,CT,H,1
2016,Connecticut,CT,W,3
2016,Delaware,DE,W,1
2016,Florida,FL,A,1
2016,Florida,FL,B,16
2016,Florida,FL,H,7
2016,Florida,FL,O,1
2016,Florida,FL,W,30
2016,Georgia,GA,A,1
2016,Georgia,GA,B,10
2016,Georgia,GA,H,5
2016,Georgia,GA,W,10
2016,Hawaii,HI,A,1
2016,Hawaii,HI,O,5
2016,Idaho,ID,H,2
2016,Idaho,ID,W,4
2016,Illinois,IL,B,15
2016,Illinois,IL,H,2
2016,Illinois,IL,W,9
2016,Indiana,IN,B,4
2016,Indiana,IN,H,1
2016,Indiana,IN,W,8
2016,Iowa,IA,B,3
2016,Iowa,IA,W,2
2016,Kansas,KS,B,1
2016,Kansas,KS,W,9
2016,Kentucky,KY,B,2
2016,Kentucky,KY,H,1
2016,Kentucky,KY,W,15
2016,Louisiana,LA,B,11
2016,Louisiana,LA,W,7
2016,Maine,ME,O,1
2016,Maine,ME,W,1
2016,Maryland,MD,B,9
2016,Maryland,MD,W,5
2016,Massachusetts,MA,B,5
2016,Massachusetts,MA,H,3
2016,Massachusetts,MA,W,4
2016,Michigan,MI,B,5
2016,Michigan,MI,H,1
2016,Michigan,MI,W,6
2016,Minnesota,MN,A,1
2016,Minnesota,MN,B,2
2016,Minnesota,MN,H,1
2016,Minnesota,MN,O,1
2016,Minnesota,MN,W,9
2016,Mississippi,MS,B,4
2016,Mississippi,MS,W,4
2016,Missouri,MO,B,7
2016,Missouri,MO,H,1
2016,Missouri,MO,W,11
2016,Montana,MT,W,5
2016,Nebraska,NE,B,2
2016,Nebraska,NE,W,5
2016,Nevada,NV,B,2
2016,Nevada,NV,H,7
2016,Nevada,NV,W,4
2016,New Hampshire,NH,W,2
