year,statecode,count
2015,AK,4
2015,AL,17
2015,AR,5
2015,AZ,42
2015,CA,190
2015,CO,29
2015,CT,2
2015,DE,3
2015,FL,61
2015,GA,29
2015,HI,2
2015,IA,5
2015,ID,7
2015,IL,21
2015,IN,19
2015,KS,9
2015,KY,16
2015,LA,27
2015,MA,9
2015,MD,15
2015,ME,2
2015,MI,16
2015,MN,12
2015,MO,21
2015,MS,8
2015,MT,4
2015,NC,22
2015,ND,1
2015,NE,8
2015,NH,3
2015,NJ,15
2015,NM,20
2015,NV,19
2015,NY,19
2015,OH,29
2015,OK,32
2015,OR,15
2015,PA,18
2015,SC,19
2015,SD,3
2015,TN,20
2015,TX,100
2015,UT,10
2015,VA,18
2015,VT,1
2015,WA,16
2015,WI,11
2015,WV,10
2015,WY,6
2016,AK,7
2016,AL,25
2016,AR,15
2016,AZ,50
2016,CA,138
2016,CO,31
2016,CT,4
2016,DE,1
2016,FL,60
2016,GA,26
2016,HI,6
2016,IA,5
2016,ID,6
2016,IL,26
2016,IN,14
2016,KS,10
2016,KY,18
2016,LA,19
2016,MA,12
2016,MD,15
2016,ME,2
2016,MI,12
2016,MN,14
2016,MO,21
2016,MS,8
2016,MT,5
2016,NC,33
2016,ND,1
2016,NE,7
2016,NH,2
2016,NJ,12
2016,NM,21
2016,NV,14
2016,NY,17
2016,OH,26
2016,OK,26
2016,OR,15
2016,PA,22
2016,RI,2
2016,SC,17
2016,SD,4
2016,TN,22
2016,TX,82
2016,UT,8
2016,VA,17
2016,VT,2
2016,WA,26
2016,WI,17
2016,WV,12
2016,WY,2
2017,AK,8
2017,AL,25
2017,AR,12
2017,AZ,44
2017,CA,161
2017,CO,31
2017,CT,6
2017,DE,6
2017,FL,58
2017,GA,29
2017,HI,3
2017,IA,5
2017,ID,6
2017,IL,20
2017,IN,19
2017,KS,12
2017,KY,17
2017,LA,19
2017,MA,3
2017,MD,9
2017,ME,9
2017,MI,14
2017,MN,9
2017,MO,31
2017,MS,17
2017,MT,6
2017,NC,22
2017,ND,3
2017,NH,3
2017,NJ,12
2017,NM,21
2017,NV,16
2017,NY,16
2017,OH,34
2017,OK,26
2017,OR,12
2017,PA,23
2017,RI,1
2017,SC,12
2017,SD,3
2017,TN,27
2017,TX,69
2017,UT,7
2017,VA,23
2017,VT,1
2017,WA,38
2017,WI,24
2017,WV,11
2017,WY,1
2018,AK,7
2018,AL,13
2018,AR,20
2018,AZ,62
2018,CA,114
2018,CO,44
2018,CT,1
2018,FL,64
2018,GA,44
2018,HI,11
2018,IA,9
2018,ID,13
2018,IL,20
2018,IN,18
2018,KS,7
2018,KY,20
2018,LA,15
2018,MA,3
2018,MD,12
2018,ME,3
2018,MI,21
2018,MN,12
2018,MO,24
2018,MS,10
2018,MT,6
2018,NC,25
2018,ND,4
2018,NE,1
2018,NH,2
2018,NJ,12
2018,NM,20
2018,NV,22
2018,NY,15
2018,OH,32
2018,OK,33
2018,OR,17
2018,PA,23
2018,RI,1
2018,SC,12
2018,SD,3
2018,TN,26
2018,TX,85
2018,UT,18
2018,VA,18
2018,VT,2
2018,WA,22
2018,WI,12
2018,WV,7
2018,WY,4
2019,AK,7
2019,AL,11
2019,AR,21
2019,AZ,35
2019,CA,135
2019,CO,36
2019,CT,4
2019,DE,2
2019,FL,64
2019,GA,37
2019,HI,7
2019,IA,5
2019,ID,7
2019,IL,13
2019,IN,16
2019,KS,9
2019,KY,15
2019,LA,20
2019,MA,5
2019,MD,19
2019,ME,3
2019,MI,13
2019,MN,11
2019,MO,28
2019,MS,18
2019,MT,6
2019,NC,34
2019,NE,6
2019,NH,2
2019,NJ,12
2019,NM,18
2019,NV,11
2019,NY,23
2019,OH,24
2019,OK,34
2019,OR,18
2019,PA,14
2019,SC,18
2019,SD,3
2019,TN,33
2019,TX,108
2019,UT,12
2019,VA,10
2019,VT,3
2019,WA,36
2019,WI,18
2019,WV,13
2019,WY,1
2020,AK,6
2020,AL,13
2020,AR,10
2020,AZ,23
2020,CA,68
2020,CO,30
2020,CT,4
2020,DE,1
2020,FL,47
2020,GA,19
2020,HI,1
2020,IA,2
2020,ID,3
2020,IL,4
2020,IN,11
2020,KS,3
2020,KY,11
2020,LA,10
2020,MA,3
2020,MD,9
2020,ME,3
2020,MI,3
2020,MN,3
2020,MO,18
2020,MS,4
2020,MT,6
2020,NC,18
2020,ND,2
2020,NE,2
2020,NH,1
2020,NJ,5
2020,NM,5
2020,NV,16
2020,NY,12
2020,OH,11
2020,OK,14
2020,OR,11
2020,PA,11
2020,SC,11
2020,SD,1
2020,TN,14
2020,TX,42
2020,UT,5
2020,VA,9
2020,WA,14
2020,WI,11
2020,WV,1
